time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-05T19:33:06.100Z,-19.0021,169.4635,244.12,4.6,mb,,51,2.737,0.93,us,us10008pvv,2017-05-06T17:02:55.040Z,"64km NNE of Isangel, Vanuatu",earthquake,9.9,8.1,0.057,92,reviewed,us,us
2017-05-05T17:58:37.640Z,13.7361,92.575,32.18,5,mb,,67,2.074,0.64,us,us10008puy,2017-05-06T16:50:29.040Z,"225km N of Bamboo Flat, India",earthquake,6.7,4.5,0.05,127,reviewed,us,us
2017-05-05T17:54:55.320Z,59.8838,-136.6653,2.35,2.6,ml,,80,0.599,1.28,us,us10008puw,2017-05-06T16:44:24.040Z,"89km WNW of Skagway, Alaska",earthquake,2.8,8,0.053,47,reviewed,us,us
2017-05-05T17:37:51.072Z,60.5769,-151.7261,66.4,3.4,ml,,,,0.43,ak,ak15924862,2017-05-06T16:40:02.040Z,"25km W of Kenai, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-05-05T17:37:02.560Z,33.0755,47.3788,10,4.3,mb,,65,5.983,0.67,us,us10008puz,2017-05-06T16:18:08.040Z,"9km NNW of Abdanan, Iran",earthquake,8,1.9,0.067,63,reviewed,us,us
2017-05-05T17:03:15.540Z,39.5064,71.4677,10,4.5,mb,,61,0.744,0.84,us,us10008pud,2017-05-06T16:12:32.040Z,"30km N of Karakenja, Tajikistan",earthquake,4.4,1.9,0.064,72,reviewed,us,us
2017-05-05T15:24:41.648Z,59.773,-136.9226,0,3.5,ml,,,,1.07,ak,ak15923665,2017-05-05T15:40:31.372Z,"97km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-05T15:19:44.170Z,59.6656,-136.4744,0.1,2.7,ml,,,,1.21,ak,ak15923657,2017-05-05T15:38:06.612Z,"69km WNW of Skagway, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-05-05T14:00:55.601Z,51.7996,-178.5623,9.4,2.8,ml,,,,0.56,ak,ak15922478,2017-05-05T19:56:12.032Z,"30km WSW of Tanaga Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-05-05T13:55:01.293Z,59.8266,-136.5833,0,2.5,ml,,,,0.63,ak,ak15922475,2017-05-05T14:01:34.293Z,"82km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-05T13:29:25.971Z,51.8679,-178.8081,44.5,3,ml,,,,0.59,ak,ak15922467,2017-05-05T19:52:31.068Z,"45km W of Tanaga Volcano, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2017-05-05T12:52:57.883Z,58.3988,-152.6937,58.9,2.7,ml,,,,0.47,ak,ak15922449,2017-05-05T12:58:39.251Z,"69km NNW of Kodiak, Alaska",earthquake,,1,,,automatic,ak,ak
2017-05-05T11:51:59.250Z,51.6308,-178.2144,10.46,4.2,mb,,185,0.696,0.84,us,us10008pqg,2017-05-05T18:44:18.574Z,"28km S of Tanaga Volcano, Alaska",earthquake,10.2,6.4,0.064,69,reviewed,us,us
2017-05-05T11:27:44.088Z,59.9122,-136.5611,0,3,ml,,,,0.9,ak,ak15920120,2017-05-05T11:34:08.781Z,"86km NW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-05T11:25:12.140Z,-6.711,105.0239,69.57,4.7,mb,,84,3.112,0.55,us,us10008pq0,2017-05-05T12:51:27.040Z,"66km W of Babakantonggoh, Indonesia",earthquake,8,5.1,0.093,35,reviewed,us,us
2017-05-05T11:21:07.540Z,36.2184,-97.5842,5,2.7,mb_lg,,40,0.124,0.25,us,us10008ppn,2017-05-05T11:44:11.040Z,"27km WSW of Perry, Oklahoma",earthquake,0.9,2,0.067,58,reviewed,us,us
2017-05-05T11:15:04.210Z,51.231,178.829,45.08,4.4,mb,,178,2.584,0.91,us,us10008ppl,2017-05-05T18:34:09.579Z,"82km SSE of Little Sitkin Island, Alaska",earthquake,6,10.2,0.043,153,reviewed,us,us
2017-05-05T10:44:08.897Z,51.6446,-178.4971,13.1,2.5,ml,,,,123.42,ak,ak15920092,2017-05-05T19:34:55.662Z,"36km SW of Tanaga Volcano, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2017-05-05T10:39:22.900Z,59.8126,-136.5926,0,3,ml,,,,0.82,ak,ak15920088,2017-05-05T10:46:47.714Z,"82km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-05T09:02:28.510Z,-3.5936,131.2832,35,5,mb,,56,1.174,1.13,us,us10008pm9,2017-05-05T09:24:12.040Z,"264km E of Amahai, Indonesia",earthquake,6.3,1.9,0.057,100,reviewed,us,us
2017-05-05T07:34:21.840Z,-3.5799,131.4085,36.4,4.5,mb,,80,1.065,1.3,us,us10008plm,2017-05-05T07:55:44.040Z,"274km NNW of Tual, Indonesia",earthquake,5.7,7.5,0.094,33,reviewed,us,us
2017-05-05T07:17:33.580Z,-3.6173,131.4156,34.2,4.5,mb,,61,1.083,1.04,us,us10008plk,2017-05-05T07:42:33.040Z,"270km NNW of Tual, Indonesia",earthquake,5.2,5.5,0.094,33,reviewed,us,us
2017-05-05T07:04:59.160Z,-6.9451,130.2264,92.68,4.8,mb,,73,1.481,1.34,us,us10008pld,2017-05-05T07:22:53.040Z,"163km NW of Saumlaki, Indonesia",earthquake,6.6,5.8,0.08,48,reviewed,us,us
2017-05-05T06:50:55.490Z,-28.7146,-71.5983,11.6,4.7,mwr,,145,0.686,0.82,us,us10008pl9,2017-05-05T20:20:19.358Z,"83km W of Vallenar, Chile",earthquake,3.6,1.8,0.044,50,reviewed,us,us
2017-05-05T06:38:04.610Z,39.4404,71.4514,10,4.7,mb,,50,0.786,1.62,us,us10008pl5,2017-05-05T07:13:05.040Z,"23km NNW of Karakenja, Tajikistan",earthquake,1.7,1.9,0.067,68,reviewed,us,us
2017-05-05T05:42:52.460Z,-28.5771,-65.2376,29.4,4.3,mb,,68,3.862,0.83,us,us10008pkk,2017-05-06T01:37:58.303Z,"36km NE of Ancasti, Argentina",earthquake,4.3,7.3,0.202,7,reviewed,us,us
2017-05-05T05:25:12.990Z,39.4951,71.3014,10,4.8,mb,,59,0.674,1.19,us,us10008pke,2017-05-05T05:44:05.040Z,"34km NNW of Karakenja, Tajikistan",earthquake,4.8,1.9,0.107,27,reviewed,us,us
2017-05-05T05:21:30.940Z,59.8254,-136.6458,2.7,4.3,mb,,,,0.93,us,us10008pkn,2017-05-06T13:42:31.000Z,"85km WNW of Skagway, Alaska",earthquake,3.6,6.4,0.154,12,reviewed,ak,us
2017-05-05T05:15:15.120Z,39.4376,71.1826,10,4.9,mb,,71,0.679,0.71,us,us10008pka,2017-05-05T06:54:26.040Z,"36km NW of Karakenja, Tajikistan",earthquake,2,1.9,0.15,14,reviewed,us,us
2017-05-05T05:09:35.830Z,39.4749,71.4438,10,5.8,mww,,20,0.755,1.22,us,us10008pk9,2017-05-05T14:35:06.040Z,"27km NNW of Karakenja, Tajikistan",earthquake,4.9,1.8,,,reviewed,us,us
2017-05-05T04:46:38.137Z,59.7726,-136.6586,0,2.6,ml,,,,0.81,ak,ak15915400,2017-05-05T04:51:39.748Z,"83km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
